group	colour	x	y	showSelected1	showSelected2
1	#00BF7D	1952	28.801	Afghanistan	Asia
1	#00BF7D	1957	30.332	Afghanistan	Asia
1	#00BF7D	1962	31.997	Afghanistan	Asia
1	#00BF7D	1967	34.02	Afghanistan	Asia
1	#00BF7D	1972	36.088	Afghanistan	Asia
1	#00BF7D	1977	38.438	Afghanistan	Asia
1	#00BF7D	1982	39.854	Afghanistan	Asia
1	#00BF7D	1987	40.822	Afghanistan	Asia
1	#00BF7D	1992	41.674	Afghanistan	Asia
1	#00BF7D	1997	41.763	Afghanistan	Asia
1	#00BF7D	2002	42.129	Afghanistan	Asia
1	#00BF7D	2007	43.828	Afghanistan	Asia
2	#00B0F6	1952	55.23	Albania	Europe
2	#00B0F6	1957	59.28	Albania	Europe
2	#00B0F6	1962	64.82	Albania	Europe
2	#00B0F6	1967	66.22	Albania	Europe
2	#00B0F6	1972	67.69	Albania	Europe
2	#00B0F6	1977	68.93	Albania	Europe
2	#00B0F6	1982	70.42	Albania	Europe
2	#00B0F6	1987	72	Albania	Europe
2	#00B0F6	1992	71.581	Albania	Europe
2	#00B0F6	1997	72.95	Albania	Europe
2	#00B0F6	2002	75.651	Albania	Europe
2	#00B0F6	2007	76.423	Albania	Europe
3	#F8766D	1952	43.077	Algeria	Africa
3	#F8766D	1957	45.685	Algeria	Africa
3	#F8766D	1962	48.303	Algeria	Africa
3	#F8766D	1967	51.407	Algeria	Africa
3	#F8766D	1972	54.518	Algeria	Africa
3	#F8766D	1977	58.014	Algeria	Africa
3	#F8766D	1982	61.368	Algeria	Africa
3	#F8766D	1987	65.799	Algeria	Africa
3	#F8766D	1992	67.744	Algeria	Africa
3	#F8766D	1997	69.152	Algeria	Africa
3	#F8766D	2002	70.994	Algeria	Africa
3	#F8766D	2007	72.301	Algeria	Africa
4	#F8766D	1952	30.015	Angola	Africa
4	#F8766D	1957	31.999	Angola	Africa
4	#F8766D	1962	34	Angola	Africa
4	#F8766D	1967	35.985	Angola	Africa
4	#F8766D	1972	37.928	Angola	Africa
4	#F8766D	1977	39.483	Angola	Africa
4	#F8766D	1982	39.942	Angola	Africa
4	#F8766D	1987	39.906	Angola	Africa
4	#F8766D	1992	40.647	Angola	Africa
4	#F8766D	1997	40.963	Angola	Africa
4	#F8766D	2002	41.003	Angola	Africa
4	#F8766D	2007	42.731	Angola	Africa
5	#A3A500	1952	62.485	Argentina	Americas
5	#A3A500	1957	64.399	Argentina	Americas
5	#A3A500	1962	65.142	Argentina	Americas
5	#A3A500	1967	65.634	Argentina	Americas
5	#A3A500	1972	67.065	Argentina	Americas
5	#A3A500	1977	68.481	Argentina	Americas
5	#A3A500	1982	69.942	Argentina	Americas
5	#A3A500	1987	70.774	Argentina	Americas
5	#A3A500	1992	71.868	Argentina	Americas
5	#A3A500	1997	73.275	Argentina	Americas
5	#A3A500	2002	74.34	Argentina	Americas
5	#A3A500	2007	75.32	Argentina	Americas
6	#E76BF3	1952	69.12	Australia	Oceania
6	#E76BF3	1957	70.33	Australia	Oceania
6	#E76BF3	1962	70.93	Australia	Oceania
6	#E76BF3	1967	71.1	Australia	Oceania
6	#E76BF3	1972	71.93	Australia	Oceania
6	#E76BF3	1977	73.49	Australia	Oceania
6	#E76BF3	1982	74.74	Australia	Oceania
6	#E76BF3	1987	76.32	Australia	Oceania
6	#E76BF3	1992	77.56	Australia	Oceania
6	#E76BF3	1997	78.83	Australia	Oceania
6	#E76BF3	2002	80.37	Australia	Oceania
6	#E76BF3	2007	81.235	Australia	Oceania
7	#00B0F6	1952	66.8	Austria	Europe
7	#00B0F6	1957	67.48	Austria	Europe
7	#00B0F6	1962	69.54	Austria	Europe
7	#00B0F6	1967	70.14	Austria	Europe
7	#00B0F6	1972	70.63	Austria	Europe
7	#00B0F6	1977	72.17	Austria	Europe
7	#00B0F6	1982	73.18	Austria	Europe
7	#00B0F6	1987	74.94	Austria	Europe
7	#00B0F6	1992	76.04	Austria	Europe
7	#00B0F6	1997	77.51	Austria	Europe
7	#00B0F6	2002	78.98	Austria	Europe
7	#00B0F6	2007	79.829	Austria	Europe
8	#00BF7D	1952	50.939	Bahrain	Asia
8	#00BF7D	1957	53.832	Bahrain	Asia
8	#00BF7D	1962	56.923	Bahrain	Asia
8	#00BF7D	1967	59.923	Bahrain	Asia
8	#00BF7D	1972	63.3	Bahrain	Asia
8	#00BF7D	1977	65.593	Bahrain	Asia
8	#00BF7D	1982	69.052	Bahrain	Asia
8	#00BF7D	1987	70.75	Bahrain	Asia
8	#00BF7D	1992	72.601	Bahrain	Asia
8	#00BF7D	1997	73.925	Bahrain	Asia
8	#00BF7D	2002	74.795	Bahrain	Asia
8	#00BF7D	2007	75.635	Bahrain	Asia
9	#00BF7D	1952	37.484	Bangladesh	Asia
9	#00BF7D	1957	39.348	Bangladesh	Asia
9	#00BF7D	1962	41.216	Bangladesh	Asia
9	#00BF7D	1967	43.453	Bangladesh	Asia
9	#00BF7D	1972	45.252	Bangladesh	Asia
9	#00BF7D	1977	46.923	Bangladesh	Asia
9	#00BF7D	1982	50.009	Bangladesh	Asia
9	#00BF7D	1987	52.819	Bangladesh	Asia
9	#00BF7D	1992	56.018	Bangladesh	Asia
9	#00BF7D	1997	59.412	Bangladesh	Asia
9	#00BF7D	2002	62.013	Bangladesh	Asia
9	#00BF7D	2007	64.062	Bangladesh	Asia
10	#00B0F6	1952	68	Belgium	Europe
10	#00B0F6	1957	69.24	Belgium	Europe
10	#00B0F6	1962	70.25	Belgium	Europe
10	#00B0F6	1967	70.94	Belgium	Europe
10	#00B0F6	1972	71.44	Belgium	Europe
10	#00B0F6	1977	72.8	Belgium	Europe
10	#00B0F6	1982	73.93	Belgium	Europe
10	#00B0F6	1987	75.35	Belgium	Europe
10	#00B0F6	1992	76.46	Belgium	Europe
10	#00B0F6	1997	77.53	Belgium	Europe
10	#00B0F6	2002	78.32	Belgium	Europe
10	#00B0F6	2007	79.441	Belgium	Europe
11	#F8766D	1952	38.223	Benin	Africa
11	#F8766D	1957	40.358	Benin	Africa
11	#F8766D	1962	42.618	Benin	Africa
11	#F8766D	1967	44.885	Benin	Africa
11	#F8766D	1972	47.014	Benin	Africa
11	#F8766D	1977	49.19	Benin	Africa
11	#F8766D	1982	50.904	Benin	Africa
11	#F8766D	1987	52.337	Benin	Africa
11	#F8766D	1992	53.919	Benin	Africa
11	#F8766D	1997	54.777	Benin	Africa
11	#F8766D	2002	54.406	Benin	Africa
11	#F8766D	2007	56.728	Benin	Africa
12	#A3A500	1952	40.414	Bolivia	Americas
12	#A3A500	1957	41.89	Bolivia	Americas
