colour	x	y	key	showSelected1	showSelected2	fill
#00BF7D	1952	28.801	1952	Afghanistan	Asia	#00BF7D
#00BF7D	1957	30.332	1957	Afghanistan	Asia	#00BF7D
#00BF7D	1962	31.997	1962	Afghanistan	Asia	#00BF7D
#00BF7D	1967	34.02	1967	Afghanistan	Asia	#00BF7D
#00BF7D	1972	36.088	1972	Afghanistan	Asia	#00BF7D
#00BF7D	1977	38.438	1977	Afghanistan	Asia	#00BF7D
#00BF7D	1982	39.854	1982	Afghanistan	Asia	#00BF7D
#00BF7D	1987	40.822	1987	Afghanistan	Asia	#00BF7D
#00BF7D	1992	41.674	1992	Afghanistan	Asia	#00BF7D
#00BF7D	1997	41.763	1997	Afghanistan	Asia	#00BF7D
#00BF7D	2002	42.129	2002	Afghanistan	Asia	#00BF7D
#00BF7D	2007	43.828	2007	Afghanistan	Asia	#00BF7D
#00B0F6	1952	55.23	1952	Albania	Europe	#00B0F6
#00B0F6	1957	59.28	1957	Albania	Europe	#00B0F6
#00B0F6	1962	64.82	1962	Albania	Europe	#00B0F6
#00B0F6	1967	66.22	1967	Albania	Europe	#00B0F6
#00B0F6	1972	67.69	1972	Albania	Europe	#00B0F6
#00B0F6	1977	68.93	1977	Albania	Europe	#00B0F6
#00B0F6	1982	70.42	1982	Albania	Europe	#00B0F6
#00B0F6	1987	72	1987	Albania	Europe	#00B0F6
#00B0F6	1992	71.581	1992	Albania	Europe	#00B0F6
#00B0F6	1997	72.95	1997	Albania	Europe	#00B0F6
#00B0F6	2002	75.651	2002	Albania	Europe	#00B0F6
#00B0F6	2007	76.423	2007	Albania	Europe	#00B0F6
#F8766D	1952	43.077	1952	Algeria	Africa	#F8766D
#F8766D	1957	45.685	1957	Algeria	Africa	#F8766D
#F8766D	1962	48.303	1962	Algeria	Africa	#F8766D
#F8766D	1967	51.407	1967	Algeria	Africa	#F8766D
#F8766D	1972	54.518	1972	Algeria	Africa	#F8766D
